$10,000 Gold?	L’or à 10.000 dollars l’once ?
Some have argued instead that gold’s long upward march has been partly driven by the development of new financial instruments that make it easier to trade and speculate in gold.	Certains ont même pu dire que la progression constante de cours de l’or est en partie liée à l’apparition de nouveaux instruments financiers qui facilitent la spéculation et les échanges du métal jaune.
There is probably some slight truth – and also a certain degree of irony – to this argument.	Il y a sans doute une part de vrai – et également une certaine ironie – dans ce point de vue.
After all, medieval alchemists engaged in what we now consider an absurd search for ways to transform base metals into gold.	Après tout, les alchimistes du Moyen Age avaient entrepris une quête, jugée absurde aujourd’hui, des possibilités de transformation des métaux peu précieux en or.
Wouldn’t it be paradoxical, then, if financial alchemy could make an ingot of gold worth dramatically more?	Ne serait-ce donc pas paradoxal si l’alchimie financière permettait  de démultiplier énormément la valeur d’un lingot ?
In my view, the most powerful argument to justify today’s high price of gold is the dramatic emergence of Asia, Latin America, and the Middle East into the global economy.	A mon avis, la flambée du prix du métal précieux s’explique avant tout par l’émergence de l’Asie, de l’Amérique latine et du Moyen-Orient dans l’économie mondiale.
As legions of new consumers gain purchasing power, demand inevitably rises, driving up the price of scarce commodities.	Avec l’accroissement du pouvoir d’achat d’une multitude de nouveaux consommateurs, la demande croît inévitablement et entraîne une hausse du prix des matières premières rares.
At the same time, emerging-market central banks need to accumulate gold reserves, which they still hold in far lower proportion than do rich-country central banks.	Dans le même temps, les banques centrales des économies émergentes doivent également accumuler des réserves en or, bien que dans une proportion moindre que leurs contreparties des pays développés.
With the euro looking less appetizing as a diversification play away from the dollar, gold’s appeal has naturally grown.	Et maintenant que l’euro semble moins intéressant comme devise alternative au dollar, l’attrait de l’or croît naturellement.
So, yes, there are solid fundamentals that arguably support today’s higher gold price, although it is far more debatable whether and to what extent they will continue to support higher prices in the future.	Il y a donc de solides fondamentaux qui expliquent sans doute le cours élevé actuel de l’or, mais la question de savoir s’ils continueront à soutenir le cours à l’avenir, et dans quelle mesure, reste posée.
Indeed, another critical fundamental factor that has been sustaining high gold prices might prove far more ephemeral than globalization.	En fait, un autre facteur essentiel qui a soutenu les prix de l’or pourrait se révéler bien plus éphémère que la mondialisation.
Gold prices are extremely sensitive to global interest-rate movements.	Le cours de l’or est extrêmement sensible aux fluctuations des taux d’intérêt mondiaux.
After all, gold pays no interest and even costs something to store.	Après tout, l’or ne rapporte aucun intérêt et il faut même payer pour le stocker.
Today, with interest rates near or at record lows in many countries, it is relatively cheap to speculate in gold instead of investing in bonds.	Alors que les taux d’intérêt sont aujourd’hui au plus bas, il est plus intéressant de spéculer sur l’or que d’investir dans des obligations.
But if real interest rates rise significantly, as well they might someday, gold prices could plummet.	Mais si les taux d’intérêt venaient à remonter fortement, une hypothèse tout à fait envisageable, le cours de l’or pourrait plonger.
Most economic research suggests that gold prices are very difficult to predict over the short to medium term, with the odds of gains and losses being roughly in balance.	La plupart des recherches économiques montrent que le prix de l’or est extrêmement difficile à prédire au court et moyen termes, avec des probabilités de gains et de pertes qui s’équilibrent.
It is therefore dangerous to extrapolate from short-term trends.	Il est donc dangereux d’extrapoler à partir de tendances à court terme.
Yes, gold has had a great run, but so, too, did worldwide housing prices until a couple of years ago.	Vrai, le cours de l’or a connu une belle envolée, tout comme les prix mondiaux de l’immobilier – avant qu’ils s’effondrent.
If you are a high-net-worth investor, a sovereign wealth fund, or a central bank, it makes perfect sense to hold a modest proportion of your portfolio in gold as a hedge against extreme events.	Si vous êtes très riche, un fonds souverain ou une banque centrale, il est tout à fait sensé de diversifier votre portefeuille avec de l’or pour se protéger d’événements exceptionnels.
But, despite gold’s heightened allure in the wake of an extraordinary run-up in its price, it remains a very risky bet for most of us.	Mais pour la plupart d’entre nous, le métal jaune est un pari risqué, malgré un attrait amplifié par son extraordinaire appréciation.
Of course, such considerations might have little influence on prices.	Bien sûr, toutes ces considérations pourraient n’avoir aucune influence sur le cours de l’or.
What was true for the alchemists of yore remains true today: gold and reason are often difficult to reconcile.	Ce qui était vrai pour les alchimistes d’antan reste vrai aujourd’hui : l’or et la raison sont parfois difficiles à concilier.
A Conservative Europe	Non à une Constitution européenne
Last week Tony Blair, Jacques Chirac, and Gerhard Schroeder met in Berlin.	La semaine dernière, Tony Blair, Jacques Chirac, et Gerhard Schroeder se sont rencontrés à Berlin.
They departed pledging to revive Europe's growth. We've heard that empty promise before.	Ils se sont quittés sur la promesse de relancer la croissance en Europe, promesse creuse souvent entendue.
Instead, the European Union needs a new direction.	En fait, l'Union Européenne a besoin d'une nouvelle direction.
I say this as leader of the party which has been at the forefront of Britain's engagement with Europe.	Je dis cela en tant que dirigeant d'un parti qui a été aux avant-postes de l'engagement européen de la Grande-Bretagne.
It was a Conservative government that first applied for membership in the early 1960's.	C'est sous un gouvernement conservateur que la Grande-Bretagne a fait pour la première fois acte de candidature à la construction européenne au début des années 60.
A Conservative government took the United Kingdom into the European Economic Community in 1973.	C'est encore sous la conduite d'un gouvernement conservateur que le Royaume-Uni à rejoint la communauté économique européenne en 1973.
Margaret Thatcher worked with Jacques Delors to forge the Single Market in 1986.	Margaret Thatcher a travaillé avec Jacques Delors à la construction du Marché unique en 1986.
So I have no doubt that Britain must remain influential within the Union.	Je suis donc convaincu que la Grande-Bretagne doit conserver un rôle influent au sein de l'Union.
But British policy towards the EU has often led to worse rather than better relations among member states.	Mais la politique britannique à l'égard de l'UE a souvent contribué à semer la zizanie plutôt qu'à améliorer les relations entre les autres Etats membres.
Faced with a new EU initiative, our traditional response has often been to oppose it, vote against it, lose the vote, then sulkily to adopt it while blaming everyone else.	Confrontés à une nouvelle initiative européenne, nous avons l'habitude de nous y opposer, de voter contre, de perdre le vote et finalement de l'adopter à contrecœur tout en blâmant le reste du monde.
Many Europeans are sick of British vetoes. So am I.	Beaucoup d'Européens en ont assez des vétos britanniques, et moi aussi.
Of course there are basic requirements that all member states must accept.	Naturellement, il y a un minimum d'exigences auxquels tous les Etats membres doivent se soumettre.
Foremost are the four freedoms of the single market; free movement of goods, services, people and capital.	Il s'agit avant tout des quatre piliers du marché unique, à savoir la liberté de mouvement des biens, des services, des individus et des capitaux.
But a single market does not require a single social or industrial policy, far less a common taxation policy.	Mais un marché unique ne nécessite pas une politique sociale ou industrielle unique, et encore moins une politique fiscale commune.
Allowing countries to pursue their own policies in these areas encourages competitiveness.	Permettre à chaque pays de mener sa propre politique dans ces domaines favorise la compétitivité.
Forcing common standards means that Europe will fall further behind as member states shuffle their costs onto their neighbours.	Imposer des normes communes amènerait les Etats membres à en rejeter le coût sur les pays voisins et entraînerait encore un recul de l'Europe.
Which areas should be applied to every member state, and which should be optional?	Quels domaines devraient faire l'objet d'une politique commune et lesquels devraient être laissés à l'appréciation des Etats membres ?
I believe that every member state should administer those policies that do not directly and significantly affect other member states.	Je pense que chaque Etat membre devrait rester libre de sa politique dans les domaines sans conséquence directe importante sur les autres membres.
In areas which serve their national interest, individual members should decide whether to retain wholly national control or whether to co‑operate with others.	Dans les secteurs qui touchent à leur intérêt national, chaque membre devrait pouvoir décider s'il les conserve sous son contrôle ou s'il en fait un domaine à responsabilité partagée.
The Union's members should form a series of overlapping circles: different combinations of members should be able to pool their responsibilities in different areas of their own choosing.	Les membres de l'UE devraient constituer un ensemble de partenariats avec différentes combinaisons d'Etats qui décident de coopérer dans les secteurs de leur choix.
Precedents exist for this.	Il existe un précédant.
NATO has been flexible since its inception.	L'OTAN fait preuve de flexibilité depuis ses débuts.
France signed up for membership but later refused to submit her armed forces to NATO's central command.	La France qui en est membre a retiré à moment donné ses forces armées du commandement intégré.
Similar flexibility exists with the Euro, the Schengen Agreement, and the Social Chapter.	La même flexibilité se retrouve avec l'euro, les accords de Schengen et le Chapitre social.
These precedents can be extended.	On peut trouver d'autres exemples.
So far, everyone has had to move forward together, with individual countries negotiating specific opt‑outs.	Au début de la construction européenne, tous les pays devaient avancer ensemble, chaque membre pouvant négocier une dérogation en sa faveur.
But since 1998, there has been a procedure within the Treaties - called enhanced co‑operation - that could allow some members to go ahead with further integration in a specific area without involving every other member.	Mais depuis 1998, il est prévu par traité une procédure appelée coopération renforcée qui permet à un groupe de pays d'aller de l'avant dans un domaine donné, sans impliquer les autres membres.
Instead of individual member states having fraught negotiations to opt‑out of a new initiative, those that support it can simply opt‑in.	Au lieu qu'un membre ait à négocier pour ne pas participer à une nouvelle initiative, ceux qui souhaitent s'y engager le font sans que cela engage les autres.
Countries that want to integrate further can do so.	Les pays qui veulent davantage d'intégration ont toute liberté pour cela.
They don't need to drag Britain and others kicking and screaming in their wake because the others are not compelled to join them.	Ils n'ont pas besoin d'entraîner à toute force la Grande-Bretagne et d'autres dans leur sillage, car il n'y a plus de participation obligatoire.
In this way we can break free of the institutionalised tug of war that has characterised EU relations.	De cette manière, nous pouvons échapper à ces batailles institutionnalisées caractéristiques des relations au sein de l'UE.
I am not talking about a two‑speed Europe. That implies that we all agree on the destination and differ only about the speed of the journey.	Je ne parle pas d'une Europe à deux vitesses qui suppose que nous soyons d'accord sur la destination mais ne cheminions pas à la même allure.
I don't want to reach the destination that some of our partners may aspire to. But I don't want to block their way.	Je ne veux pas atteindre la même destination que certains de nos partenaires, mais pour autant je ne veux pas me mettre en travers de leur chemin.
There are some who say that this would mean a loss of influence on the part of those countries which choose not to integrate more closely.	Certains pensent que cela se traduira par une perte d'influence pour les pays qui ne choisissent pas de s'intégrer davantage.
But influence is not an end in itself - it is a means to an end.	Mais avoir de l'influence n'est pas un but en soi, c'est seulement un moyen.
Britain does not need a seat at the table when decisions on the Euro are taken.	La Grande-Bretagne n'a pas besoin d'un siège à la table autour de laquelle se prennent les décisions concernant l'euro.
Our economy has not been adversely affected by staying out.	Notre économie n'a rien perdu à être restée en dehors de la zone euro.
Keeping the pound does not mean that we oppose the Euro, or hope for its failure.	Le fait que nous ayons conservé la livre ne signifie pas que nous sommes opposés à l'euro ou que nous souhaitions son échec.
The European Union should stop trying to do everything and concentrate on doing fewer things more effectively.	L'UE devrait cesser d'intervenir dans tous les domaines pour se concentrer avec plus d'efficacité sur quelques-uns uns d'entre eux.
It should give member states the chance to develop an approach to Europe that suits their national traditions, within the EU framework.	Elle devrait offrir à chaque Etat membre la possibilité d'avoir sa propre approche de l'Europe, à l'intérieur même du cadre de l'UE.
It is on this basis that British Conservatives oppose the proposed constitution.	Ce sont les raisons pour lesquelles les Conservateurs britanniques ne sont pas d'accord avec le projet de Constitution.
We disagree with many of its contents, of course, but also oppose the idea of having an EU constitution at all.	Non seulement nous sommes en désaccord sur de nombreux points, mais nous nous opposons à l'idée même d'une Constitution européenne.
There is a world of difference between an association of nation states bound together by treaty, and a single entity, whether you call it a state or not, with its own legal personality, deriving its authority from its own constitution.	Une association d'Etats-nations liées par un traité n'a rien à voir avec une entité unique, qu'elle s'appelle ou non Etat, avec sa personnalité juridique et la légitimité que lui confère sa propre Constitution.
If this constitution were accepted in anything like the proposed form, the EU would gain many attributes and trappings of statehood: its own president and foreign minister, its own legal system.	Si la Constitution était adoptée sous sa forme actuelle ou sous une forme proche, l'UE aurait beaucoup des attributs et des signes extérieurs d'un Etat : un président, un ministre des Affaires étrangères et un système juridique.
The supremacy of EU law would derive not from Acts of national Parliaments but from a supra‑national constitution.	La suprématie de la législation de l'UE n'aurait pas comme origine une décision des parlements nationaux mais une Constitution supranationale.
That is a radical change, not the mere tidying‑up exercise some suggest.	Ce serait là un changement radical et non un simple toilettage comme on le suggère ici ou là.
I do not believe it is right to make a change of such magnitude without specifically consulting the people on whose behalf we govern.	Je ne pense pas qu'il soit légitime d'entreprendre un changement de cette ampleur sans consulter le peuple au nom duquel nous gouvernons.
Elected parliaments do not own our liberties.	Les parlements élus ne sont pas propriétaires de nos libertés.
They safeguard them, and should not diminish those liberties without an explicit mandate.	Ils les protègent et ils ne devraient pas les restreindre en l'absence d'un mandat explicite.
Any proposal for a new constitution must be put to the British people and to the people in each EU member state.	Tour projet de Constitution doit être soumis au peuple britannique ainsi qu'au peuple de chaque Etat membre.
­A New European Growth Agenda	Un nouveau plan de croissance pour l\u0027Europe
BRUSSELS – Austerity alone cannot solve Europe's economic and financial crisis.	BRUXELLES – L’austérité ne peut régler à elle seule la crise économique et financière de l’Europe.
Growth and jobs need to be promoted with equal zeal.	Il faut prêcher avec le même zèle pour la croissance et les emplois.
European Union leaders now recognize this: kick-starting growth in 2012 was high on the agenda at the European Council’s meeting on January 30.	Les dirigeants de l’Union européenne en sont maintenant convaincus&nbsp;: le redémarrage de la croissance en 2012 n'était-il pas l'item prioritaire du programme de la réunion du 30 janvier du Conseil européen.
But the big question remains: How?	Toutefois, une grande question demeure. Comment y parvenir&nbsp;?
The need for immediate action is clear.	Le besoin d’intervenir immédiatement est clair.
The eurozone’s economy contracted in the last three months of 2011; even Germany’s shrank.	L’économie de la zone euro s’est contractée les trois derniers mois de 2011&nbsp;; même celle de l’Allemagne.
The new year is looking grim.	L’année qui vient est également de mauvais augure.
France is flat-lining (as is Britain).	La France fait du sur-place (comme la Grande-Bretagne).
Italy and Spain have sunk into deep recession.	L’Italie et l’Espagne ont sombré dans une grave récession.
Greece is in its fifth year of a slump.	Le marasme de la Grèce dure depuis cinq ans.
And eurozone unemployment is at record highs, with nearly one in two young people jobless in Spain and Greece.	Et le chômage de la zone euro atteint un niveau record, avec presque un jeune travailleur sur deux sans emploi en Espagne et en Grèce.
The economic headwinds are formidable: fiscal austerity, high interest rates outside AAA-rated countries, credit cutting by banks, deleveraging households, weak private-sector investment, and declining exports as the global slowdown undermines demand.	L’économie fait face à de redoutables vents contraires&nbsp;: austérité budgétaire, taux d’intérêt élevés pour les pays qui n’ont pas la cote AAA, assèchement du crédit bancaire, désendettement des ménages, affaiblissement de l'investissement privé et des exportations découlant du ralentissement mondial qui mine la demande.
Until growth resumes, any tentative financial stabilization will be extremely fragile.	Avant retour de la croissance, toute tentative de stabilisation financière restera extrêmement fragile.
Recession will hit banks’ and governments’ already-weak balance sheets, increasing pressure for faster deleveraging.	La récession pèsera sur les finances déjà précaires des banques et des gouvernements, exerçant une pression pour hâter le désendettement.
But, while gradual adjustment is essential, faster and deeper cuts are largely self-defeating: big reductions in private credit and government spending will cause a sharper slowdown – and thus a vicious downward spiral.	Or, alors que les ajustements graduels sont nécessaires, des mesures plus immédiates et plus restrictives sont en grande partie vouées à l’échec, car les réductions importantes du crédit privé et des dépenses gouvernementales engendrent un recul encore plus prononcé pouvant dégénérer en cercle vicieux de décroissance.
A big new push for growth is therefore vital.	Il est donc vital de stimuler massivement la croissance.
So far, the growth agenda has consisted largely of structural reforms, which are essential for boosting future productivity and flexibility.	Jusqu’ici, le plan de croissance a surtout porté sur des réformes structurelles essentielles pour rendre l'économie plus productive et plus agile.
The crisis does provide a political opportunity for bold moves on this front in many countries; but structural reforms generally will not generate growth and jobs immediately (one exception is permitting shops to open longer).	La crise, il est vrai, donne l’occasion d’instaurer des mesures audacieuses sur ce front dans bon nombre de pays&nbsp;; mais, en général, elles ne génèrent pas de résultats immédiats sur la croissance et l'emploi (exception faite de plus longues heures d’ouverture autorisée des commerces).
On the contrary, a shakeout of less productive jobs, for example, would at first raise unemployment, increase government outlays, and reduce private spending.	Au contraire, un délestage des emplois les moins productifs aurait pour effet initial d’accroître le chômage, d’augmenter les dépenses publiques et de réduire les dépenses du privé.
And, because demand is depressed, credit is in short supply, and barriers to enterprise are often high, it will take longer than usual for businesses to create more productive jobs.	Et, puisque la demande en est affaiblie, le crédit se fait rare et les obstacles à la création d’entreprises deviennent souvent plus élevés, les entreprises prennent plus longtemps que coutume à créer des emplois plus productifs.
In short, structural reforms alone cannot be relied upon to stimulate growth in 2012.	En gros, nous ne pouvons compter uniquement sur les réformes structurelles pour stimuler la croissance en 2012.
Instead, the immediate focus needs to be on boosting investment and exports in economies with a current-account deficit – such as France, Italy, and Spain (and the United Kingdom) – and stimulating consumption in surplus countries such as Germany and the Netherlands.	Il faudra plutôt porter une attention immédiate à l'expansion des investissements et des exportations dans les économies à balance commerciale déficitaire comme la France, l’Italie et l’Espagne (le Royaume-Uni également). En parallèle, la consommation des pays en excédent comme l’Allemagne et les Pays-Bas devra être stimulée.
The European Central Bank has acted decisively to prop up European banks; now it needs to support the real economy, too.	La Banque centrale européenne est intervenue résolument pour remettre à flot les banques européennes&nbsp;; dorénavant, elle doit également appuyer l’économie réelle.
While official interest rates are only 1%, solvent sovereigns such as Spain pay more than 5% to borrow for ten years, while creditworthy businesses in Italy can borrow only at punitive rates, if at all.	Les taux officiels d’intérêt ne sont que de 1&nbsp;%, mais la dette souveraine d’États solvables comme l’Espagne porte un taux d’emprunt supérieur à 5&nbsp;% sur dix ans, et les sociétés solvables en Italie ne peuvent trouver de financement qu’à des taux prohibitifs, quand elles en trouvent.
So the ECB should do more to unblock the transmission mechanism for monetary policy; the European Banking Authority should discourage excessive deleveraging by insisting that banks raise specific capital amounts rather than hit a uniform 9% ratio; and, where necessary, national governments should provide guarantees for bank lending to small and medium-size businesses.	Aussi la BCE devrait en faire plus pour débloquer le mécanisme de transmission de la politique monétaire&nbsp;; l’Autorité bancaire européenne devrait décourager le désendettement excessif en exigeant que chaque banque augmente son capital d'un montant précis au lieu de viser un ratio uniforme de 9&nbsp;% pour tout le secteur. Le cas échéant, les gouvernements nationaux pourraient aussi offrir des garanties sur les prêts bancaires aux petites et moyennes entreprises.
While improving access to finance is vital, governments also need to do more to boost investment.	Bien sûr, un meilleur accès au financement est crucial, mais les gouvernements doivent également faire plus pour accélérer l’investissement.
They should prioritize measures to make it easier to start a business, lift barriers to venture capital, and introduce temporary 100% capital allowances to encourage businesses to bring forward investment.	Ils doivent mettre en priorité des mesures pour faciliter le lancement d'entreprises, éliminer les obstacles au capital de risque et introduire des déductions temporaires d’amortissement à 100&nbsp;% afin d’inciter les entreprises à devancer leurs plans d’investissement.
At the EU level, the (callable) capital of the European Investment Bank should be greatly increased, as European Commission President José Manuel Barroso suggested in his State of the Union speech last September, so that the EIB can finance a big wave of pan-European investment, notably in infrastructure.	À l’échelle de l’UE, le capital (résiliable) de la Banque européenne d’investissement devrait être fortement augmenté, comme l’a proposé le président de la Commission européenne, José Manuel Barroso, dans son discours sur l’état de l’Union en septembre dernier, afin que la BEI puisse financer une vague importante d’investissements paneuropéens, notamment en infrastructure.
Boosting exports is also essential.	La stimulation des exportations est également essentielle.
Deficit countries need to become more competitive, increasing productivity while cutting costs.	Les pays déficitaires doivent devenir plus concurrentiels pour accroître la productivité et en même temps diminuer les coûts.
A more competitive currency would be welcome: just as the sterling’s collapse since 2008 has lifted UK exports, a weaker euro would help Mediterranean economies regain competitiveness for price-sensitive exports.	Une devise plus concurrentielle aiderait également&nbsp;: comme la chute de la livre sterling depuis 2008 a permis la hausse des exportations britanniques, un euro moins fort aiderait les économies méditerranéennes à recouvrer leur compétitivité sur les secteurs d’exportation sensibles au prix.
A fiscal devaluation – slashing payroll taxes and replacing the revenues with a higher VAT – would also help.	Une politique de dévaluation fiscale pourra aussi aider, en sabrant les charges sociales des salaires pour les remplacer par des recettes d’une TVA plus élevée.
Surplus countries, too, must do their part, which is in their own interest.	Les pays en excédent commercial, eux aussi, doivent contribuer à l'effort, ce qui est dans leur propre intérêt.
Just as China needs to allow the renminbi to rise, so Germany – whose current-account surplus exceeds China's both as a share of GDP and in absolute terms – needs a higher real exchange rate.	Comme la Chine qui doit laisser monter le renminbi, l’Allemagne, dont l’excédent de la balance commerciale dépasse celui de la Chine tant en proportion du PIB qu’en chiffres absolus, a besoin d’un taux de change réel plus élevé.
That means that Germans need to earn higher wages, commensurate with their increased productivity, so that they can afford more Greek and Spanish holidays.	Ceci implique que les salaires des Allemands doivent monter, en proportion de leur productivité accrue, afin qu’ils puissent se payer plus de vacances en Grèce et en Espagne.
If businesses will not oblige, an income-tax cut would do the trick.	Si les entreprises n'acquiescent pas à ces demandes, une baisse des impôts sur le revenu ferait l’affaire.
That brings us to fiscal policy.	Ce qui nous amène à la politique budgétaire.
Governments that cannot borrow cheaply (or at all) from markets have no option but to tighten their belts.	Les gouvernements qui n’ont pas les moyens d’emprunter à faible taux (ou qui n’en ont même pas la chance) des marchés n’ont d’autres choix que de se serrer la ceinture.
But they should pursue smart consolidation rather than unthinking austerity.	Ils devraient toutefois poursuivre une stratégie intelligente d’assainissement des dépenses au lieu d’un bête régime d’austérité.
So they should maintain investment in skills and infrastructure, while cutting subsidies and transfer payments.	Ils parviendraient ainsi à maintenir les investissements dans les compétences et les infrastructures, tout en éliminant des subventions et des paiements de transfert.
They should also legislate now for future reforms, notably to encourage people to work longer.	Ils devraient également légiférer dès maintenant pour les réformes futures, notamment pour inciter les gens à travailler plus longtemps.
Last but not least, governments that can borrow at unprecedentedly low rates – 0% in real terms over 10 years in the case of Germany – must play their role in supporting demand.	Dernier point, mais non des moindres, les gouvernements en mesure d’emprunter à des taux jamais vus jusqu’ici, du 0&nbsp;% sur 10 ans en termes réels dans le cas de l’Allemagne, doivent jouer leur rôle dans le soutien de la demande.
Would it be really be so difficult to see VAT coming down ahead of the German election next year?	Est-ce si difficile d’envisager une baisse de TVA en avance des élections allemandes de l’an prochain&nbsp;?
Is Iraq the Next Afghanistan?	L\u0027Irak sera-t-il le prochain Afghanistan ?
At the onset of the US-led war in Iraq, two competing views shaped predictions about the outcome. The first contended that overthrowing Saddam Hussein's regime would usher in a democratic era in Iraq that would serve as a model and catalyst for democratic change regionally.	Au début de la guerre que la coalition emmenée par les États-Unis lança contre l'Irak, deux visions entraient en concurrence quant à l'issue probable de cette guerre : la première était que le renversement du régime de Saddam Hussein ouvrirait une ère de démocratie en Irak qui servirait à son tour de modèle et de catalyseur pour introduire des changements démocratiques dans la région.
Derided by detractors as a new "domino theory," this view presented intervention in Iraq as similar to America's role in post-WWII Japan.	Ridiculisée par ses détracteurs comme une nouvelle « théorie du domino », cette vision présentait l'intervention en Irak comme phénomène identique à l'intervention américaine au Japon après la Deuxième guerre mondiale.
Against the optimism of that "Japan scenario," pessimists argued that a "Somalia scenario" was more likely.	Contre l'optimisme de ce « scénario japonais », les pessimistes déclaraient qu'il était plus probable qu'un « scénario somalien » se mette en place.
They staked their claim on the tribal, sectarian, and multiethnic nature of Iraq, which, in the absence of dictatorship, would supposedly incite Iraq's collapse into a "failed state," with rampant warlordism, ethnic and religious feuds, and harboring of terrorist organizations.	Ils fondaient leurs déclarations sur la nature tribale, sectaire et multiethnique de l'Irak, qui, en l'absence de dictature, pousserait disait-on l'Irak vers sa chute précipité en « État déchu », livré aux seigneurs de guerre, aux querelles religieuses et ethniques, et devenant un refuge pour les organisations terroristes.
But the main question now is whether Iraq will drift along lines somewhere between these two scenarios, increasingly resembling Afghanistan.	Reste maintenant la question principale de la dérive de l'Irak vers un scénario qui se situerait à la charnière de ces deux scénarios qui le rapprocherait du cas de l'Afghanistan.
This "Afghan scenario" implies a weak state with nominal power over effectively autonomous fiefdoms that are headed by strongmen who are represented in the central government.	Ce « scénario afghan » implique un État affaibli avec un pouvoir symbolique sur des fiefs indubitablement autonomes dirigés par des hommes forts représentés au gouvernement central.
